lower,higher,freq,webID
phacil,Agapostemon texanus,1,"2015,early"
clawil,andrena_candida,1,"2015,early"
esccal,andrena_candida,1,"2015,early"
phacil,andrena_candida,2,"2015,early"
lupden,Anthidium manicatum,4,"2015,early"
esccal,Anthophora urbana,1,"2015,early"
phatan,Ashmeadiella aridula,1,"2015,early"
antcor,Ashmeadiella cactorum basalis,1,"2015,early"
antcor,Bombus californicus,1,"2015,early"
trifuc,Bombus californicus,1,"2015,early"
claung,Bombus vosnesenskii,4,"2015,early"
clawil,Bombus vosnesenskii,1,"2015,early"
colhet,Bombus vosnesenskii,1,"2015,early"
lupden,Bombus vosnesenskii,5,"2015,early"
lupsuc,Bombus vosnesenskii,1,"2015,early"
phacal,Bombus vosnesenskii,2,"2015,early"
phacam,Bombus vosnesenskii,1,"2015,early"
phacil,Bombus vosnesenskii,2,"2015,early"
phatan,Bombus vosnesenskii,6,"2015,early"
scrcal,Bombus vosnesenskii,1,"2015,early"
trifuc,Bombus vosnesenskii,1,"2015,early"
amsint,bombus_vandykei,1,"2015,early"
claung,bombus_vandykei,2,"2015,early"
colhet,bombus_vandykei,7,"2015,early"
lupden,bombus_vandykei,2,"2015,early"
phacal,bombus_vandykei,1,"2015,early"
phacil,Ceratina (Zadontomerus) acantha,1,"2015,early"
nemmac,Ceratina arizonensis,2,"2015,early"
phacil,Ceratina arizonensis,3,"2015,early"
phacil,ceratina_nanula,2,"2015,early"
sphamb,Diadasia ochracea,1,"2015,early"
nemmen,Eucera actuosa,1,"2015,early"
phacil,Eucera actuosa,9,"2015,early"
lupsuc,Eucera_frater,1,"2015,early"
achmil,Halictus ligatus,4,"2015,early"
erilan,Halictus ligatus,6,"2015,early"
esccal,Halictus ligatus,1,"2015,early"
lasgla,Halictus ligatus,1,"2015,early"
phacil,Halictus ligatus,1,"2015,early"
calcil,Halictus tripartitus,2,"2015,early"
clapur,Halictus tripartitus,1,"2015,early"
clawil,Halictus tripartitus,1,"2015,early"
erilan,Halictus tripartitus,2,"2015,early"
esccal,Halictus tripartitus,18,"2015,early"
lasgla,Halictus tripartitus,1,"2015,early"
limalb,Halictus tripartitus,2,"2015,early"
nemmac,Halictus tripartitus,2,"2015,early"
nemmen,Halictus tripartitus,2,"2015,early"
phacam,Halictus tripartitus,2,"2015,early"
phacil,Halictus tripartitus,38,"2015,early"
colhet,Hoplitis producta gracilis,4,"2015,early"
nemmen,Hoplitis producta gracilis,1,"2015,early"
phacil,Hoplitis producta gracilis,12,"2015,early"
nemmen,Hylaeus mesillae,1,"2015,early"
phacam,Hylaeus mesillae,1,"2015,early"
phacil,Hylaeus mesillae,9,"2015,early"
phatan,Hylaeus mesillae,2,"2015,early"
scrcal,Hylaeus mesillae,1,"2015,early"
calcil,Lasioglossum imbrex,3,"2015,early"
colhet,Lasioglossum imbrex,1,"2015,early"
erilan,Lasioglossum imbrex,2,"2015,early"
esccal,Lasioglossum imbrex,2,"2015,early"
lasgla,Lasioglossum imbrex,1,"2015,early"
nemmen,Lasioglossum imbrex,1,"2015,early"
phacal,Lasioglossum imbrex,3,"2015,early"
phacil,Lasioglossum imbrex,7,"2015,early"
antcor,Lasioglossum incompletum,1,"2015,early"
clawil,Lasioglossum incompletum,3,"2015,early"
colhet,Lasioglossum incompletum,1,"2015,early"
erilan,Lasioglossum incompletum,2,"2015,early"
esccal,Lasioglossum incompletum,7,"2015,early"
gilcap,Lasioglossum incompletum,1,"2015,early"
