"","plant","weighted.betweenness","weighted.closeness","mean_BC","mean_CC"
"1","achmil",0,0.011114793,0,0.011114793
"2","antcor",0,0.001997823,0,0.001997823
"3","ascfas",0,0.010448427,0,0.0193592205
"4","ascfas",0,0.028270014,0,0.0193592205
"5","camche",0,0.003509822,0,0.008363913
"6","camche",0,0.006134552,0,0.008363913
"7","camche",0,0.015447365,0,0.008363913
"8","erilan",0,0.008116064,0,0.015335029
"9","erilan",0,0.022553994,0,0.015335029
"10","esccal",0,0.016488703,0,0.0173379586666667
"11","esccal",0,0.01290284,0,0.0173379586666667
"12","esccal",0,0.022622333,0,0.0173379586666667
"13","gilcap",0,0.003499239,0,0.003499239
"14","gricam",0.513392857,0.023421411,0.3755058645,0.0373475345
"15","gricam",0.278571429,0.03072154,0.3755058645,0.0373475345
"16","gricam",0,0.025132628,0.3755058645,0.0373475345
"17","gricam",0.710059172,0.070114559,0.3755058645,0.0373475345
"18","helann",0,0.017306561,0.0647400675,0.03177593725
"19","helann",0.164285714,0.025009266,0.0647400675,0.03177593725
"20","helann",0,0.019275857,0.0647400675,0.03177593725
"21","helann",0.094674556,0.065512065,0.0647400675,0.03177593725
"22","helbol",0.125,0.019725365,0.03125,0.0263059635
"23","helbol",0,0.024032845,0.03125,0.0263059635
"24","helbol",0,0.019977554,0.03125,0.0263059635
"25","helbol",0,0.04148809,0.03125,0.0263059635
"26","helcal",0,0.012728804,0,0.01728775825
"27","helcal",0,0.018961646,0,0.01728775825
"28","helcal",0,0.018007639,0,0.01728775825
"29","helcal",0,0.019452944,0,0.01728775825
"30","hetgra",0,0.017600933,0.01010101,0.022533119
"31","hetgra",0,0.021615097,0.01010101,0.022533119
"32","hetgra",0.03030303,0.028383327,0.01010101,0.022533119
"33","lotsco",0,0.002205105,0,0.002693384
"34","lotsco",0,0.003181663,0,0.002693384
"35","lupfor",0,0.011245543,0,0.011245543
"36","madele",0,0.004882444,0.093073593,0.020360926
"37","madele",0.257142857,0.006228227,0.093073593,0.020360926
"38","madele",0.115151515,0.022278874,0.093073593,0.020360926
"39","madele",0,0.048054159,0.093073593,0.020360926
"40","malsax",0,0.008730961,0.003030303,0.0212031065
"41","malsax",0,0.005711417,0.003030303,0.0212031065
"42","malsax",0.012121212,0.019584867,0.003030303,0.0212031065
"43","malsax",0,0.050785181,0.003030303,0.0212031065
"44","monvil",0,0.015518272,0,0.015518272
"45","oenela",0,0.004992057,0,0.00784850575
"46","oenela",0,0.003432693,0,0.00784850575
"47","oenela",0,0.009434051,0,0.00784850575
"48","oenela",0,0.013535222,0,0.00784850575
"49","penhet",0,0.008999448,0,0.008999448
"50","phacal",0,0.004931971,0,0.004931971
"51","scrcal",0,0.003519218,0,0.002856528
"52","scrcal",0,0.002193838,0,0.002856528
"53","solvel",0,0.002081701,0,0.0078133755
"54","solvel",0,0.01354505,0,0.0078133755
"55","sphamb",0,0.015801227,0.101010101,0.0228269066666667
"56","sphamb",0.303030303,0.017603367,0.101010101,0.0228269066666667
"57","sphamb",0,0.035076126,0.101010101,0.0228269066666667
"58","symchi",0,0.015142576,0.008080808,0.030430546
"59","symchi",0.024242424,0.026657044,0.008080808,0.030430546
"60","symchi",0,0.049492018,0.008080808,0.030430546
"61","trilan",0.361607143,0.022144306,0.3430062325,0.06847322775
"62","trilan",0.3,0.031449688,0.3430062325,0.06847322775
"63","trilan",0.515151515,0.153666429,0.3430062325,0.06847322775
"64","trilan",0.195266272,0.066632488,0.3430062325,0.06847322775
