"","plant","sum_d","season"
"1","A.millefolium",0.391416697777778,"early"
"2","A.millefolium",0.411095,"mid"
"3","A.millefolium",0.358168,"late"
"4","amsint",0.577205834117647,"early"
"5","antcor",0.551203811111111,"early"
"6","antcor",0.459109,"mid"
"7","antcor",0.467287,"late"
"8","asceri",0.515093,"mid"
"9","ascfas",0.33120213,"early"
"10","ascfas",0.373366,"mid"
"11","ascfas",0.337342,"late"
"12","calcil",0.294683831896552,"early"
"13","C.cheiranthifolia",0.374914861666667,"early"
"14","C.cheiranthifolia",0.357651,"mid"
"15","C.cheiranthifolia",0.334858,"late"
"16","clapur",0.386918846666667,"early"
"17","clapur",0.435158,"mid"
"18","C.unguiculata",0.415192168571429,"early"
"19","C.unguiculata",0.484938,"mid"
"20","C.williamsonii",0.376926980555556,"early"
"21","C.williamsonii",0.349578,"mid"
"22","C.heterophylla",0.39534903,"early"
"23","E.lanatum",0.370914124861111,"early"
"24","E.lanatum",0.402298,"mid"
"25","E.lanatum",0.340397,"late"
"26","E.californica",0.318890234880952,"early"
"27","E.californica",0.387268,"mid"
"28","E.californica",0.302829,"late"
"29","G.capitata",0.356143193333333,"early"
"30","G.capitata",0.365271,"mid"
"31","G.capitata",0.312174,"late"
"32","G.camporum",0.484779841333333,"early"
"33","G.camporum",0.404016,"mid"
"34","G.camporum",0.385316,"late"
"35","H.annuus",0.497501302666667,"early"
"36","H.annuus",0.391152,"mid"
"37","H.annuus",0.357437,"late"
"38","H.bolanderi",0.395787,"mid"
"39","H.bolanderi",0.386766,"late"
"40","H.californicus",0.419433,"mid"
"41","H.californicus",0.391572,"late"
"42","H.grandiflora",0.49698285,"early"
"43","H.grandiflora",0.462717,"mid"
"44","H.grandiflora",0.419766,"late"
"45","L.fremontii",0.319338140416667,"early"
"46","L.fremontii",0.282522,"mid"
"47","lasgla",0.33317236875,"early"
"48","lasgla",0.309125,"mid"
"49","limalb",0.303551846875,"early"
"50","lotsco",0.28343571,"early"
"51","lotsco",0.518885,"mid"
"52","lotsco",0.615271,"late"
"53","L.densiflorus",0.497827069166667,"early"
"54","L.densiflorus",0.478725,"mid"
"55","L.formosus",0.33120213,"early"
"56","L.formosus",0.477085,"mid"
"57","L.formosus",0.340097,"late"
"58","lupsuc",0.392028317,"early"
"59","lupsuc",0.597117,"mid"
"60","M.elegans",0.421497953333333,"early"
"61","M.elegans",0.347485,"mid"
"62","M.elegans",0.381663,"late"
"63","M.saxatilis",0.31393772,"early"
"64","M.saxatilis",0.354716,"mid"
"65","M.saxatilis",0.351973,"late"
"66","monvil",0.56516825,"early"
"67","monvil",0.462434,"mid"
"68","monvil",0.318713,"late"
"69","N.maculata",0.327762096666667,"early"
"70","N.menziesii",0.319144060540541,"early"
"71","oenela",0.467076,"mid"
"72","oenela",0.486369,"late"
"73","penhet",0.384427958333333,"early"
"74","penhet",0.397987,"mid"
"75","penhet",0.289588,"late"
"76","P.californica",0.364204084827586,"early"
"77","P.californica",0.456312,"mid"
"78","P.californica",0.258209,"late"
"79","P.campanularia",0.3192799655,"early"
"80","P.campanularia",0.353556,"mid"
"81","P.ciliata",0.283142583862069,"early"
"82","P.ciliata",0.47786,"mid"
"83","P.tanacetefolia",0.31353687375,"early"
"84","P.tanacetefolia",0.48583,"mid"
"85","scrcal",0.32150506125,"early"
"86","scrcal",0.508697,"mid"
"87","scrcal",0.258015,"late"
"88","solvel",0.386865,"late"
"89","S.ambigua",0.45237234,"early"
"90","S.ambigua",0.388314,"mid"
"91","S.ambigua",0.331204,"late"
"92","symchi",0.433686,"mid"
"93","symchi",0.397627,"late"
"94","T.fucatum",0.4107763475,"early"
"95","T.lanceolatum",0.52083559,"early"
"96","T.lanceolatum",0.334026,"mid"
"97","T.lanceolatum",0.267455,"late"
