plant,year,plant_y,mean_prop_over_thres_plant_y,max_propflarea
achmil,1,"achmil,1",18.96103896,1.5362762
achmil,2,"achmil,2",31.14285714,13.89461208
achmil,3,"achmil,3",21.42857143,9.160083278
ascfas,1,"ascfas,1",0,0
ascfas,2,"ascfas,2",0,0
ascfas,3,"ascfas,3",0,0
camche,1,"camche,1",15.38461539,0.165340634
camche,2,"camche,2",0.307692308,0.057840195
camche,3,"camche,3",0,0
claung,1,"claung,1",29.65034965,8.303351345
claung,2,"claung,2",10.76923077,0.93852546
claung,3,"claung,3",4.615384616,0.460179991
clawil,1,"clawil,1",33.33333333,4.860330306
clawil,2,"clawil,2",11.16666667,0.86600115
clawil,3,"clawil,3",2.5,0.611858136
colhet,1,"colhet,1",11.03030303,5.662896657
colhet,2,"colhet,2",11.2,4.198088451
colhet,3,"colhet,3",7.833333334,0.869090215
erilan,1,"erilan,1",15.24475525,0.673020833
erilan,2,"erilan,2",28.76923077,9.665924606
erilan,3,"erilan,3",11.92307692,2.206383857
esccal,1,"esccal,1",53.28671329,6.94367803
esccal,2,"esccal,2",56.46153846,9.259107804
esccal,3,"esccal,3",55.19230769,2.832385151
gilcap,1,"gilcap,1",15,0.359438167
gilcap,2,"gilcap,2",0.166666667,0.020390201
gilcap,3,"gilcap,3",0,0
gricam,1,"gricam,1",16.88311688,0.599070544
gricam,2,"gricam,2",43.28571429,0.931856803
gricam,3,"gricam,3",42.32142857,1.584662038
helann,1,"helann,1",31.93181818,8.126362973
helann,2,"helann,2",0.25,2.552327932
helann,3,"helann,3",0,0
helbol,1,"helbol,1",18.46153846,7.43503665
helbol,2,"helbol,2",1.230769231,1.826647332
helbol,3,"helbol,3",0,0
helcal,1,"helcal,1",0.606060606,5.536201742
helcal,2,"helcal,2",0,0
helcal,3,"helcal,3",0,0
hetgra,1,"hetgra,1",3.216783217,0.087868805
hetgra,2,"hetgra,2",0,0
hetgra,3,"hetgra,3",0,0
lasfre,1,"lasfre,1",26.72727273,2.8296656
lasfre,2,"lasfre,2",3.2,0.650219831
lasfre,3,"lasfre,3",0.5,0.030692282
lupden,1,"lupden,1",19.48051948,1.699743824
lupden,2,"lupden,2",8.285714285,3.422067094
lupden,3,"lupden,3",8.035714285,1.838670554
lupfor,1,"lupfor,1",1.818181818,0.136568352
lupfor,2,"lupfor,2",6.75,0.204893081
lupfor,3,"lupfor,3",3.75,0.20577465
madeleden,1,"madeleden,1",6.909090909,8.774655553
madeleden,2,"madeleden,2",17.2,1.687808754
madeleden,3,"madeleden,3",3.5,0.219475458
malsax,1,"malsax,1",0.227272727,0.125448347
malsax,2,"malsax,2",2.25,0.133190463
malsax,3,"malsax,3",1.5625,0.675776442
nemmac,1,"nemmac,1",22.07792208,15.04904641
nemmac,2,"nemmac,2",13.85714286,2.923753599
nemmac,3,"nemmac,3",1.25,0.441294919
nemmen,1,"nemmen,1",30.45454545,11.77548415
nemmen,2,"nemmen,2",16.33333333,8.469347685
nemmen,3,"nemmen,3",10.83333333,1.809142932
phacal,1,"phacal,1",2.222222222,0.238086109
phacal,2,"phacal,2",11.33333333,0.354214272
phacal,3,"phacal,3",6.111111111,0.136334861
phacam,1,"phacam,1",5.050505051,0.083500856
phacam,2,"phacam,2",0.222222222,0.532828584
phacam,3,"phacam,3",0,0
phacil,1,"phacil,1",18.48484849,3.415721768
phacil,2,"phacil,2",1.111111111,0.121842498
phacil,3,"phacil,3",0.972222222,0.023728508
phatan,1,"phatan,1",37.85123967,4.180644653
phatan,2,"phatan,2",18,1.809836854
phatan,3,"phatan,3",11.81818182,0.234444108
sphamb,1,"sphamb,1",0,0
sphamb,2,"sphamb,2",0.571428572,0.195084007
sphamb,3,"sphamb,3",1.964285714,0.134546181
trifuc,1,"trifuc,1",6.611570248,0.288117348
trifuc,2,"trifuc,2",0,0
trifuc,3,"trifuc,3",0,0
trilan,1,"trilan,1",2.597402597,0.346211587
trilan,2,"trilan,2",0,0
trilan,3,"trilan,3",0,0
